TYPE,APT,RWY,PRO,RTE
###本文件系2511导航数据，若需更新导航数据版本请自行更新，格式不变
SID,ZBAA,36R,RV,ZBAA
SID,ZBAA,36L,RV,ZBAA
SID,ZBAA,19,RV,ZBAA
SID,ZBAA,18R,RV,ZBAA
SID,ZBAA,18L,RV,ZBAA
SID,ZBAA,01,RV,ZBAA
STAR,ZBAA,36R,RV,ZBAA
STAR,ZBAA,36L,RV,ZBAA
STAR,ZBAA,19,RV,ZBAA
STAR,ZBAA,18R,RV,ZBAA
STAR,ZBAA,18L,RV,ZBAA
STAR,ZBAA,01,RV,ZBAA
SID,ZBAA,01,BOTP7X,DER01 AA171 AA172 AA177 AA178 AA134 AA135 BOTPU
SID,ZBAA,01,DOTR7X,DER01 AA171 AA172 AA175 DOTRA
SID,ZBAA,01,DOTR9Z,DER01 AA171 AA172 AA173 AA174 AA175 DOTRA
SID,ZBAA,01,ELKU7X,DER01 AA171 AA172 AA173 AA176 ELKUR
SID,ZBAA,01,IDKE7X,DER01 AA171 AA172 AA175 IDKEX
SID,ZBAA,01,IDKE9Z,DER01 AA171 AA172 AA173 AA174 AA175 IDKEX
SID,ZBAA,01,IGMO7X,DER01 AA171 AA172 AA173 AA176 AA157 IGMOR
SID,ZBAA,01,LULT9Z,DER01 AA171 AA172 AA173 LULTA
SID,ZBAA,01,MUGL7X,DER01 AA171 AA172 AA173 AA176 AA157 MUGLO
SID,ZBAA,01,OMDE9Z,DER01 AA171 AA172 AA177 AA178 AA134 AA136 AA137 AA197 OMDEK
SID,ZBAA,01,PEGS9Z,DER01 AA171 AA172 AA177 AA178 AA134 AA136 AA137 AA197 PEGSO
SID,ZBAA,01,RUSD9Z,DER01 AA171 AA172 AA177 AA178 AA134 AA136 AA137 RUSDO
SID,ZBAA,18L,BOTP6J,DE18L AA231 AA232 AA233 AA234 AA235 BOTPU
SID,ZBAA,18L,DOTR2G,DE18L AA231 AA272 AA273 AA253 AA254 AA175 DOTRA
SID,ZBAA,18L,ELKU2G,DE18L AA231 AA232 AA236 AA275 AA276 AA277 ELKUR
SID,ZBAA,18L,IDKE2G,DE18L AA231 AA272 AA273 AA253 AA254 AA175 IDKEX
SID,ZBAA,18L,IGMO2G,DE18L AA231 AA232 AA236 AA275 AA276 AA157 IGMOR
SID,ZBAA,18L,LULT2G,DE18L AA231 AA272 AA273 LULTA
SID,ZBAA,18L,MUGL2G,DE18L AA231 AA232 AA236 AA275 AA276 AA157 MUGLO
SID,ZBAA,18L,OMDE2G,DE18L AA231 AA232 AA236 AA275 AA276 AA277 ELKUR OMDEK
SID,ZBAA,18L,PEGS2G,DE18L AA231 AA232 AA236 AA275 AA276 AA277 ELKUR OMDEK PEGSO
SID,ZBAA,18L,RUSD6J,DE18L AA231 AA232 AA233 AA234 AA235 RUSDO
SID,ZBAA,18R,BOTP2G,DE18R AA212 AA213 AA214 AA215 BOTPU
SID,ZBAA,18R,DOTR2G,DE18R AA212 AA231 AA272 AA273 AA253 AA254 AA175 DOTRA
SID,ZBAA,18R,ELKU2G,DE18R AA212 AA231 AA232 AA236 AA275 AA276 AA277 ELKUR
SID,ZBAA,18R,IDKE2G,DE18R AA212 AA231 AA272 AA273 AA253 AA254 AA175 IDKEX
SID,ZBAA,18R,IGMO2G,DE18R AA212 AA231 AA232 AA236 AA275 AA276 AA157 IGMOR
SID,ZBAA,18R,MUGL2G,DE18R AA212 AA231 AA232 AA236 AA275 AA276 AA157 MUGLO
SID,ZBAA,18R,OMDE2G,DE18R AA212 AA231 AA232 AA236 AA275 AA276 AA277 ELKUR OMDEK
SID,ZBAA,18R,PEGS2G,DE18R AA212 AA231 AA232 AA236 AA275 AA276 AA277 ELKUR OMDEK PEGSO
SID,ZBAA,18R,RUSD2G,DE18R AA212 AA213 AA214 AA215 RUSDO
SID,ZBAA,19,BOTP4E,DER19 AA251 AA252 AA253 AA254 AA256 AA257 BOTPU
SID,ZBAA,19,DOTR2G,DER19 AA251 AA252 AA253 AA254 AA175 DOTRA
SID,ZBAA,19,ELKU6J,DER19 AA251 AA252 AA253 AA273 AA176 AA157 ELKUR
SID,ZBAA,19,IDKE2G,DER19 AA251 AA252 AA253 AA254 AA175 IDKEX
SID,ZBAA,19,IGMO6J,DER19 AA251 AA252 AA253 AA273 AA176 AA157 IGMOR
SID,ZBAA,19,LULT6J,DER19 AA251 AA252 AA253 LULTA
SID,ZBAA,19,MUGL6J,DER19 AA251 AA252 AA253 AA273 AA176 AA157 MUGLO
SID,ZBAA,19,OMDE2G,DER19 AA251 AA231 AA232 AA236 AA275 AA276 AA277 ELKUR OMDEK
SID,ZBAA,19,PEGS2G,DER19 AA251 AA231 AA232 AA236 AA275 AA276 AA277 ELKUR OMDEK PEGSO
SID,ZBAA,19,RUSD4E,DER19 AA251 AA252 AA253 AA254 AA256 AA257 RUSDO
SID,ZBAA,36L,BOTP9Z,DE36L AA111 AA112 AA129 AA113 AA114 AA115 BOTPU
SID,ZBAA,36L,DOTR5Y,DE36L AA111 AA112 AA153 AA154 DOTRA
SID,ZBAA,36L,ELKU9Z,DE36L AA111 AA112 AA129 AA113 AA116 AA119 DXG ELKUR
SID,ZBAA,36L,IDKE5Y,DE36L AA111 AA112 AA153 AA154 IDKEX
SID,ZBAA,36L,IGMO9Z,DE36L AA111 AA112 AA129 AA113 AA116 AA119 DXG AA139 AA157 IGMOR
SID,ZBAA,36L,MUGL9Z,DE36L AA111 AA112 AA129 AA113 AA116 AA119 DXG AA139 AA157 MUGLO
SID,ZBAA,36L,OMDE9Z,DE36L AA111 AA112 AA129 AA113 AA116 AA197 OMDEK
SID,ZBAA,36L,PEGS9Z,DE36L AA111 AA112 AA129 AA113 AA116 AA197 PEGSO
SID,ZBAA,36L,RUSD9Z,DE36L AA111 AA112 AA129 AA113 AA116 AA117 AA137 RUSDO
SID,ZBAA,36R,BOTP7X,AA131 AA132 AA133 AA134 AA135 BOTPU
SID,ZBAA,36R,DOTR5Y,DE36R AA131 AA153 AA154 DOTRA
SID,ZBAA,36R,ELKU5Y,AA131 AA152 AA158 AA155 LULTA AA156 ELKUR
SID,ZBAA,36R,ELKU7X,AA131 AA152 AA158 AA173 AA176 ELKUR
SID,ZBAA,36R,ELKU9Z,AA131 AA132 AA133 AA138 AA118 DXG ELKUR
SID,ZBAA,36R,IDKE5Y,DE36R AA131 AA153 AA154 IDKEX
SID,ZBAA,36R,IGMO5Y,AA131 AA152 AA158 AA155 LULTA AA156 AA157 IGMOR
SID,ZBAA,36R,IGMO7X,AA131 AA152 AA158 AA173 AA176 AA157 IGMOR
SID,ZBAA,36R,IGMO9Z,AA131 AA132 AA133 AA138 AA118 DXG AA139 AA157 IGMOR
SID,ZBAA,36R,LULT5Y,DE36R AA131 AA152 AA158 AA155 LULTA
SID,ZBAA,36R,MUGL5Y,AA131 AA152 AA158 AA155 LULTA AA156 AA157 MUGLO
SID,ZBAA,36R,MUGL7X,AA131 AA152 AA158 AA173 AA176 AA157 MUGLO
SID,ZBAA,36R,MUGL9Z,AA131 AA132 AA133 AA138 AA118 DXG AA139 AA157 MUGLO
SID,ZBAA,36R,OMDE9Z,AA131 AA132 AA133 AA134 AA136 AA137 AA197 OMDEK
SID,ZBAA,36R,PEGS9Z,AA131 AA132 AA133 AA134 AA136 AA137 AA197 PEGSO
SID,ZBAA,36R,RUSD9Z,AA131 AA132 AA133 AA134 AA136 AA137 RUSDO
STAR,ZBAA,01,AVBO7XxILSY,AVBOX AA124 AA122 AA420 CI01Y FI01Y
STAR,ZBAA,01,AVBO8Y,AVBOX AA146 AA145 AA144 AA143 AA142 AA141 AA420 CI01Z FI01Z
STAR,ZBAA,01,DUGE5DxILSY,DUGEB AA126 AA125 AA122 AA420 CI01Y FI01Y
STAR,ZBAA,01,DUMA9Z,DUMAP AA147 AA146 AA145 AA144 AA143 AA142 AA141 AA420 CI01Z FI01Z
